Index,HIERARCH ESO OBS PROG ID,HIERARCH ESO OBS NAME,HIERARCH ESO INS FILT1 NAME,HIERARCH ESO DET DIT,HIERARCH ESO DET NDIT,HIERARCH ESO TPL ID,HIERARCH ESO TPL NEXP,HIERARCH ESO TPL EXPNO,JITTR_ID,NJITTER,JITTER_I,ESOGRADE,RA,DEC,FWHM,Filename
1239,098.B-0510(A),MS_DV1_V5_OB21,Ks,7.0,4,VIRCAM_img_obs_tile6,18,13,Jitter3u,3,1,A,351.531446,-53.4702,0.8285885,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161013_00077_st.fit
1240,098.B-0510(A),MS_DV1_V5_OB21,Ks,7.0,4,VIRCAM_img_obs_tile6,18,16,Jitter3u,3,1,A,351.37725,-53.47009,0.86548938,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161013_00080_st.fit
1241,098.B-0510(A),MS_DV2_V5_OB21,Ks,7.0,4,VIRCAM_img_obs_tile6,18,1,Jitter3u,3,1,B,358.290867,-52.43722,0.93332448,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161013_00083_st.fit
1242,098.B-0510(A),MS_DV2_V5_OB21,Ks,7.0,4,VIRCAM_img_obs_tile6,18,4,Jitter3u,3,1,B,358.4414,-52.4373,0.90468084,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161013_00086_st.fit
1243,098.B-0510(A),MS_DV2_V5_OB21,Ks,7.0,4,VIRCAM_img_obs_tile6,18,7,Jitter3u,3,1,B,358.591321,-52.43721,1.06248028,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161013_00089_st.fit
1244,098.B-0510(A),MS_DV2_V5_OB21,Ks,7.0,4,VIRCAM_img_obs_tile6,18,10,Jitter3u,3,1,B,358.592283,-52.62019,0.92786544,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161013_00092_st.fit
1245,098.B-0510(A),MS_DV2_V5_OB21,Ks,7.0,4,VIRCAM_img_obs_tile6,18,13,Jitter3u,3,1,B,358.441425,-52.6205,0.89431594,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161013_00095_st.fit
1246,098.B-0510(A),MS_DV2_V5_OB21,Ks,7.0,4,VIRCAM_img_obs_tile6,18,16,Jitter3u,3,1,B,358.29025,-52.6204,0.84539028,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161013_00098_st.fit
1247,098.B-0510(A),MS_DV1_V5_OB22,Ks,7.0,4,VIRCAM_img_obs_tile6,18,1,Jitter3u,3,1,B,351.377896,-53.28692,0.87304384,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161013_00101_st.fit
1248,098.B-0510(A),MS_DV1_V5_OB22,Ks,7.0,4,VIRCAM_img_obs_tile6,18,4,Jitter3u,3,1,B,351.531417,-53.287,0.94921404,/Volumes/RAID/Magellanic_stream/VISTA/P98/raw_data/v20161013_00104_st.fit
