#  im_file        filter  tile  dither  sky_level   FWHM
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t3_d15_i.fits    i    3    15    1113.6    6.8
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t6_d12_i.fits    i    6    12    5868.1    6.7
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t6_d13_i.fits    i    6    13    6328.7    7.9
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t6_d14_i.fits    i    6    14    6236.1    8.2
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t6_d15_i.fits    i    6    15    6091.3    6.3
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t7_d5_g.fits    g    7    5    638.1    6.9
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t7_d6_g.fits    g    7    6    625.7    6.5
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t7_d7_g.fits    g    7    7    614.5    6.7
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t7_d7_i.fits    i    7    7    5684.6    4.7
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t7_d8_i.fits    i    7    8    5951.8    4.6
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t7_d9_i.fits    i    7    9    6235.6    4.7
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t7_d10_i.fits    i    7    10    6294.1    4.6
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t7_d11_i.fits    i    7    11    7168.9    5.7
/Volumes/RAID/Magellanic_stream/DECam/20130808/pipeline/images/ms_t9_d6_i.fits    i    9    6    7631.1    6.5
