#  im_file        filter  tile  dither  weight_file     zp      FWHM    MJD   EXPTIME   NCHIP
c4d_140911_063355_ooi_i_v1.fits.fz    i    5    13    c4d_140911_063355_oow_i_v1.fits.fz    30.68     0.0    56911.271253    150.0    60
c4d_140911_063606_ooi_i_v1.fits.fz    i    5    14    c4d_140911_063606_oow_i_v1.fits.fz    30.30     0.0    56911.273332    100.0    60
c4d_140911_063813_ooi_i_v1.fits.fz    i    5    15    c4d_140911_063813_oow_i_v1.fits.fz    30.06     0.0    56911.274810    100.0    60
c4d_140911_064020_ooi_i_v1.fits.fz    i    5    16    c4d_140911_064020_oow_i_v1.fits.fz    30.12     0.0    56911.276278    100.0    60
c4d_140911_064226_ooi_i_v1.fits.fz    i    5    17    c4d_140911_064226_oow_i_v1.fits.fz    30.37     0.0    56911.277775    100.0    60
c4d_140911_064435_ooi_i_v1.fits.fz    i    5    18    c4d_140911_064435_oow_i_v1.fits.fz    30.43     0.0    56911.279247    100.0    60
c4d_140911_064644_ooi_i_v1.fits.fz    i    5    19    c4d_140911_064644_oow_i_v1.fits.fz    30.40     0.0    56911.280720    100.0    60
c4d_140911_064854_ooi_i_v1.fits.fz    i    5    20    c4d_140911_064854_oow_i_v1.fits.fz    30.42     0.0    56911.282202    100.0    60
c4d_140911_065101_ooi_i_v1.fits.fz    i    5    21    c4d_140911_065101_oow_i_v1.fits.fz    30.57     0.0    56911.283682    100.0    60
c4d_140911_065408_ooi_i_v1.fits.fz    i    6    1    c4d_140911_065408_oow_i_v1.fits.fz    30.73     0.0    56911.285867    100.0    60
c4d_140911_065617_ooi_i_v1.fits.fz    i    6    2    c4d_140911_065617_oow_i_v1.fits.fz    30.74     0.0    56911.287352    100.0    60
c4d_140911_065826_ooi_i_v1.fits.fz    i    6    3    c4d_140911_065826_oow_i_v1.fits.fz    30.68     0.0    56911.288858    100.0    60
c4d_140911_070034_ooi_i_v1.fits.fz    i    6    4    c4d_140911_070034_oow_i_v1.fits.fz    30.66     0.0    56911.290347    100.0    60
c4d_140911_070244_ooi_i_v1.fits.fz    i    6    5    c4d_140911_070244_oow_i_v1.fits.fz    30.81     0.0    56911.291837    100.0    60
c4d_140911_070450_ooi_i_v1.fits.fz    i    6    6    c4d_140911_070450_oow_i_v1.fits.fz    30.66     0.0    56911.293315    100.0    60
c4d_140911_070701_ooi_i_v1.fits.fz    i    6    7    c4d_140911_070701_oow_i_v1.fits.fz    30.73     0.0    56911.294811    100.0    60
c4d_140911_070909_ooi_i_v1.fits.fz    i    6    8    c4d_140911_070909_oow_i_v1.fits.fz    30.85     0.0    56911.296294    100.0    60
c4d_140911_071118_ooi_i_v1.fits.fz    i    6    9    c4d_140911_071118_oow_i_v1.fits.fz    30.73     0.0    56911.297784    100.0    60
